@,Title,Summary,Image_URL,Category,Is_Real,Is_Today,Source_URL
1,מכונית מעופפת ראשונה נחתה בתל אביב,,https://images1.ynet.co.il/PicServer4/2016/06/26/7092515/709251201002177640360no.jpg,טכנולוגיה,FALSE,TRUE,
2,דקה 50: הפועל באר שבע - מכבי תל אביב 2:2,,https://www.sport5.co.il/Sip_Storage/FILES/0/size624x514/1721460.jpg,כדורגל ישראלי,TRUE,TRUE,https://playbyplay.sport5.co.il/?GameID=149819&FLNum=16
3,המשימה הושלמה: האסטרונאוטים של Artemis 2 נחתו בשלום,,https://media.passportnews.co.il/media/Storage/100109_tumb_750Xauto.jpg,חלל,TRUE,TRUE,https://www.geektime.co.il/artemis-2-splashdown/
4,"מים, אדמה, אש, הדלפה: Avatar החדש עוד לא יצא וכבר דלף",,https://cdn.geektime.co.il/wp-content/uploads/2026/04/avatar-the-last-airbender-3.jpeg.webp,קולנוע,TRUE,TRUE,https://www.geektime.co.il/the-legend-of-aang-the-last-airbender-leaks-on-x/
5,האם לביבי יש אח תאום אבוד?,,https://www.kipa.co.il/userFiles/334694_%D7%A0%D7%AA%D7%A0%D7%99%D7%94%D7%95_%D7%90%D7%97%D7%A8%D7%99_%D7%A1%D7%A4%D7%95%D7%A8%D7%98_%D7%95%D7%A7%D7%A4%D7%94.jpg,אקטואליה,FALSE,TRUE,
6,חוקרי הטכניון פיתחו מודל חדש לתכנון מקורות אור חכמים,,https://scontent-lhr6-1.xx.fbcdn.net/v/t39.30808-6/692426115_1464670165704970_3759392319423620352_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=vzKxPWGK1HsQ7kNvwG3RhLO&_nc_oc=AdrONtkxY7HalghEHj02lBZ5nhm0q8v1UJnSK9VwILWfvXczGRL-HlZkMgIlhqBFoqqOMvzyYceg7mz8qBAKuKMX&_nc_zt=23&_nc_ht=scontent-lhr6-1.xx&_nc_gid=GeS84Fwd3ETJxNSbDJGgOQ&_nc_ss=7b2a8&oh=00_Af4_e12V0Znx7PzWF1jmcNBeir90J2tmSZIP0sU9cwMGSA&oe=6A127D82,מדע,TRUE,TRUE,https://www.hayadan.org.il/smart-light-sources-technion-photoluminescence
7,ממעלית לחלל עד מפרש שמש: רעיונות מהמדע הבדיוני שמחכים לפריצת הדרך,,https://www.hayadan.org.il/images/content3/2026/04/Startramgeneration2.jpg.webp,מדע,TRUE,TRUE,https://www.hayadan.org.il/science-fiction-space-technologies
8,החיפושית שיורה “אש” מהישבן,,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMSEhUSExMWFRUVFxgYFxUYGBUYFxUXFRgXFhUVFxUYHSggGBolGxUYITEhJSorLi4uFx8zODMtNygtLisBCgoKDg0OFRAPFS0eHh4tLS8tLS4vKzczNy4tLTctLTErMSstLSsuNzcrNystLTctNy0wLysvLS0rMi0rLTctK//AABEIAI4BYgMBIgACEQEDEQH/xAAcAAABBQEBAQAAAAAAAAAAAAAAAQMEBQYCBwj/xAA8EAABAwIEAwUHAwMDBAMAAAABAAIRAyEEEjFBBVFhBhMicYEHFDKRobHwUsHRI0LhFWOCYnKSsiQzQ//EABkBAQEBAQEBAAAAAAAAAAAAAAABAgMEBf/EACkRAQACAQIGAQIHAAAAAAAAAAABEQIDIQQSEzFBUQVx4TJCYYGxwdH/2gAMAwEAAhEDEQA/APDUIQgEIQgEIQgEIQgEIQgEIQgEIQgVIlSKgQhCBQlKQJVQrnTFgIEedyZPW8egR9kgSgIFlAKQJSqFa6NFrOBVM9Jw3Bn/AMt/mskArjs1ig2rlOjgR67Kor8VTyuI5EptvJW3HaJbUltpuI2I5dVU5VUIUhXRH+VyVFdgEaj86fJDua5alKBXCbpwNXLArXs7wh+LxFLD0x4qjg0dBu49AJJ8kgeoew7sxJONeLyadC2hj+rVHkDlB5uK9qxuKZQpOqOIaxjZPkAovZ/hlPD0WU6Q8DGBjP8AtGrj1c4lxPVece1TtL3jvdaZ8DD44/ufs3rH38lnvIzmPxNbieMygXqGBypsG56AX8169wjhlPC0W0mWZTbcmL7ue4/Mqj9n3Zj3Sl3jx/WqgF3/AEN1DB9z18li/bJ26AzcPw7umIeDr/sg/wDt8uadzszHtU7cnHVe5oujDUj4f914sah6fpHK+68+JQ9yblbHRKUrglIUU4SOa5HmuChUdlo5oSQkVQwhCFxUIQhAIQhQCEIQCEIQLKRCEAhCEAlSIQKkQhUKEJWpAgEsICFR01dZU2p3CWZ3hh30VhJR7hdUzeRYi/1stBiOztQEgiCPqqutwqo03atUi7xtHv6Qc34rObz2kf4WcrMLT0/JWq7NYR5bliYNvXUJ/i/ZWoZeBbb1QZFlMBwOjXWPQHX+UzicOWOLTqDrseo9Fo6XCXZCyoAINj11VXjMOcsn4mQ11ttj6IK0LoNTlOnmcGjUmB5mwXr/AGU9nVNrQ6sA9xF5Fh0H8qdh5Axq9v8AYb2YhjsXUb4qkspztTEd4/8A5HwDyctDQ7JUC5rG0aZkifCLDnMbLd4agyjThoDWtaABya3Qfm5KkytKXtz2hGDw5yn+q+W0xy5uI5D+FgvZ5wA4ir73Vuxjjkn/APSpN3HmAfr5K27Qdn38QxQd3nhsI/Qwax1P3Kue0/GqHCsGCAJaMlGl+pwFvQak/uVBV+1Ltl7jQNKk7/5FUQCNaTT/AH+fL5r5xq1CSSTJNyTcnqVY8b4xVxNR1Wq7M5xkn9h0VS9biKCOKSUQkRQgoCCgRCEKhUJUiBhCELkBCEIBCEKAQhCAQnKjIjqm1qYAhCFkCEIQCEIQCEIQKEICFQJUJQFYAncNVLHhw2IKbStKsD3Xg+DZicNTqg30J/lOO7OAMOZoJ28lW+yLFl2Gc03DTl8v7m/cre0/EB5qSjP4Hs+2kM7Wwdv3KbxtUiW5QRG/1W2oUPDooeO4e1wuBKWU8d4+8j4jzgc1TVaPeU+9AmPDVbGx0d0XoHH+FNgggSP30KyuHp9y/wCGWkFr2zZ7d568lpFZ2C4MauOYCJaw555j+1fQ9BoaMoCwvs74AKPeVRdro7sn9ETB6gkre4GkXO+/ksysLHhuGA8Ua/b/AD+yjcequd/TZ69TsFZYisGN66AJjCUdXm2/8lRUPCUm4akXPN9XHrs0fZee9ucKcYC5wkxDB+kWsLX6rR8d4h31QMEim066z1I+3+VKGDa5kEbax9lYR8y8UwRpu0sdOhFiPQqNQwrn2a1zj0Er3vH+z+k4lzxnaHZxzE6yU/huH0qLYY1rB0AWrR4a3sxiyJGHqfID7lRMTwivTu+jUaOZaY+ei+iKWJZv9U8cE13KDslq+ZcqRy9t7VdgKVYF9MCnU5gWPmF49xXh9ShUNOo3K4fIjYg7hW1QkAJQEoCoSEi7QqiKhCFwUIQhAIQhAIQhApKRCEsCEIQCEIQCEIQCEJUAEIBShUAC6KXTa65K0FJEC5nfl0g/NEJEAoPQPZFxxuHxLqTz4KwA1sHNuJ+y9wpUQ4jIdpiy+U6VQghwsQZHmF7N2B7bNfTFN0Co0XuYcLXufmkwj1QYgNgckxiKocIGv2WfxHEAKkTAJ0/cFTWV7SLjn+3mpRbKceqPa5we2eYE3GxC8/xj6jX5QZBIgH6QvXcfhRUvEn1WW7QdmiRmaDaYMaHY+S1CNv2WAp4ZtIkB2Xw9CtD2bwrqdIuqfE4k32aNPtK849m+GrVK3d1JhniceY/zovR+L4hzntw9PU3eeQ2BWZVzRqOr1XGIY3T85ld8Xxlu7bpFz+y7xmI7lops+I69OvmqatVkqKpDUAddXlDE2G4VTisI1xMk3MpKb3Uy1syDpzlVlfuxbAYnoRsRsq7iWEbtaVEfTcHS50DprrMBPFxiSdNJQVGIwZkRqVZYaoW6qXDS2QoR3RVgXhzea889pnAm1qJqtA7yncHcjcLa0n5fJQ+KAOa7Qgi4VHzpCIUriNDJUe0aBxjymyiBbCoQhULlHJdd03kgpVkJ3DUjsM3YrsA8iu+6dyKlCN7t1SHCnmpgoOK693PMKVBavOHKTuHclZsw43cuHUhzKlQK/uHckhou5FWgpDqU4A3kUotTOpkbLhaBzgdvknMOykZzzpaA032mfVKLZtC0furDAOX5Ibw6nPia3peJ8k5S2eYwkgASToBqVoKvYjHsYHvoGm0gEd46mx0EwDkc4OE9Qrfs7kwuIp16dIPfTOZma7cwFiWg7eesKDxwVcRUfVq1qhe9xJzBwFyYgbBScZ8NROPlTYngOIp/FTPOxa477NJ5KDVoub8TS3zBH3Wjw3Bq5aajK5ytIBPisXSWiN5ynTkVZMwePLSajG1aYAd4oAIcRTBaAIzGRtoCs1lDdYT7hhk4wLUVuB0qpOVj6F4LnEFgcZIkjQeF0RCkYX2dY1zmZWMeHugOY4OaBAOdx2bfXmD6zq44zEZTX1OnlP4d/oyTtAt37LOzGHxzsQ2u1ziyiXMguDQ6QCS5v9wBkA/VW1fsNg2FjC6o9zf/ALH5mtaTuGtAkD1nqto7F06dMUKFNtOmwNG8eFoGo+KdSTz1XzeM+T08MZxwuZ99nv0PjdWZxnLs8P4z2drUcRUoim92QmCGnxM/tfbQEEHpKv8AG+zitRY11WqxpeBbK4Bjjo17nRA1l2lvJb3tm+jRw9MSRXe1r7G5a4GQdr28l5TieL1cQGtqVnOawQ1pMx+fwvRwnEZ6+O+1d3HitDDS3iZmy1+z1Of6eJa5vN7SyTlB0k6ulvpPOH+D8ArB4e19FwBEgVWAwZB1jT9wRKigkafn5KkYSuWm5IBsSIJ6QD5c+a+hyz7eHmhvcHi3uYGlr2vFslQRJH6XkQ/nYqx4Xxt9N2R7TlJg6z81jOD8Vewwx5/Y+bTY+RC9U4TUbUptc9rbCBAAt1Gm55JUx3TbwvsLw5ghwm4mdtlONMjqOWqc4dTDmyHTG0qZQpSdbD09Fi2qQ8Phm4Sk97Wy95mNy4/C3y3XXCsMaTM9TxVX3PSbwphIc7vHHwN+HqdymHVszsx026II2Lwk+LUm5Kh4rDEC0SdFbtdKSowHVBl8Th3RNgd1U16lRul1rMbQAvqqLEujb85Koi0MSQJcmcZxNmhdfl9lAxpcT05bQfus/jcEMxcHenXyVRsOFcRa+xNgrQMbssXwGqaZ5kxstmyqMubpoFJU0+nEk+iq8RUAY87X/iFJxGLJMfTzWe7VY8MpFoN4vH78lR5Jxh01XHmSfqoKmcSu+eYlRCFsEoSIRU4Ypv6GoON5AD0UWEocAoyfOKPNJ7wUzK6aFBJbWCXN1UcQlAUD0oDk3IjdcSop8ORnTBcgJQk512awI3B+hUVyTMqiwpNcSCN/zmrZuD8AdDSY3I30geQ1Wba92xKdFepMS6VYF1RwAmWglxsAALuNoHz+h81dOwnu1OS0PqESWZh4DqCacyTptoSs5wjivdPc+o1z3hhFOf7akiHOm8AZvmmPfXl2bO4nWSbzqdTzWMonKa8OuGUYxcd/4aIcUquYXNIa39DYvFgAOcdP8McR49Vzd5SMNLcmUi7fCA8A9ZJ5jMoJ4kaoAe6SBla4wIgzeNze/VScfwusKQc7K4vMth7S6Nbt1vPr1ScdOPEHU1Z/NKbwXFuqjJVNNtNozOdJDiM2lpL3S63r1jf9nuKU8PhnOoNc01JcHPDZAY6Gh1wIMF0XsPJeXcNwtQOAeHdIgkzykwrHtBictLuab85d8bxJaGAN8LSTe8gu3ywLErw8Rp5akxjpZV++z1aOUYxerH+usRxWg2mW06jnPkZiIDXnUlvqdOi03YrHtrZu9IDGjU5BlOxJJuL9Nl5N3fJWXAgPeKJcJAqMJ8g4E/QLPEfH46mE3lv7mI+zpp8dnjWMRt+ltp2qrMrgVH1GAeJtMSJDKZyAEDSQJ9QqN/YGpVaKtFzXBzQ6G3M7ARr6Km4/46z3CRJHTYKLhq9SkQ6m8tIMggmxF5C1hwueOOPTzqfO3vwzqcVzTOOeNxH9OX0n03ZXA+GQQQZ3mZVtwnDMqkDMOqYx3HKtdwdWDHv0c8Ate+0S4izjN5idVEmkKhyF7WZiA4/FlmxLQYkjkvbzZx4t4+TCfNPSOD9lmjxCTbbUzY/RaThtfJDHUnNHk4yefRed9n+11XDAhjgWm8OMERYxrzVpR7fYqQ972EE2aWgSDqCReOq59XOZm8ahvo4VtlcvXeDMAdMwYMja1x9loA06Wg3J/PzVebcP7SnOyHNDSfE6xyB0ZQ/9OoM8oV7jO2VG7GVBIjX+/npoFnrYzuk6OUbNJXcD0A0hNsaHaESsxw3j4rzkcJG3PXUbJnG414M6Ebj+F3jfs5zExNS2QGVNOxbdCQFj6XGasWcZVnQ4lns+OpRGg8J0uoGJwVMzYgxsilUDbjfkuMVjg0SgzfF+BtJtUifL91QV+zznOANRxPLLN/OVq6/F2z4mwClPGsOPE7KDtz+QWkZjDdnyCD3hN9QDb62V3Qpj4c5PVcYrj+HAJY2/Pb5jZVrOOMN2gzoCNPkqLk8JiQ1xuOU6+Sx3aLs+97coqNk3JM6K6b2mc0TYuEiLiLa2VLiuId7L8035XnkN46pQz2O7BPcM4rUpI0LuX3Wa4h2Zr0XZXAGRIIIj6rZYqqQRc6WsfRVmLqEyXGT1k/dWRkv9Kqch8whXRJ6IWbVmSEQpLqR5ps0lbZNpJTwpoLVLDQK7aeq7yhK1oS1cAFdCQNE4YjVDY5pYZK6YdreacydUjmJY5ywdfknHsm8rgLumEsFXDvYAXCM2lxPym2u6SjiC0hw1HOE53Q3vqugyxBPL8srYaNd7jLiSeZufmU5SIJu2egsl7sA/xsrDCPpgjPcb852goIuGoyJBuFbP4qwMa2pTzOaIa+YIbsCNDBNlxjMcwtLaYj0EnWSYVLWvuSVJLTq/G3PsYgRqJ0TYxoAENaSN4185/LqA1k2lT6NQBuQsYf8Aqvm9C0j6yosS4dimmxYBv4Y/NtF1TxLRcNnzj7brhpG4vsRY2+667yNDPmpONtxnTupjS4yQD/xGn4E5VeYa4sADrggCDe9hpdRHVIgixG/UaFcNrHnZKZs/VIcSYF+QH22UjBupj4wb/pIEdYLTP00UY1eo9f8AC7oAHxGMuk3E+XNaS1lVeyplDKbW6A5ZM7SWnRx6GEU8Jr3jg3KPC3KSSZBDYkZQcxM9N7KqziZFk/Tr21QaXhVB1N4qEZhlzOLb2tYweZFlJxtfDvcC3wmfQ84IuN1l6GKIMgx8o+SDXO5C5Z6eOW/n264as47ePTccIr0aTszM+aIkHMDOt9/urQcV1JbUgCZLTEeq80oV3A/FboSDO155qaeK1SINQkaQXTzt9SkRnHomcJ33bL/XKQPxR6Bd/wCsMBnOAN50j1K8/c/e355rmoQRBXRzb7inb6mw5KQzfOG+ROqhu7Td5BzQeUiZ8l55icOdGvPrf7qPSw7xqQR5KsvRHY0uuTPO82Sux0CQdgTvGywTbAgRcgzBkROhnqptHFOAjPPUifqbpati3FtdzHrr973TLqlRkiTII1DJETIkeIGT+QsucSSZJB8raeS7qY6YkiRA1I00sDCWL6rxC93/AD6aXPomXcTZlMkTIi/ntuqd9ckxY/VNVMQDtGnP53+aWq2fj51AI2Ij5DZRcRWkbj5faFCdi3OAaSSBoDcBM1MQdI+gUtEn1+iFB78fkIQVAqrrvlFhLClpSSKyO9UZKliR3qO9UdCWqT3qXvVEQgl96l71Q0JYmd+gVjqogRKWJwxZSe8fkBQpRKWiYKgmV13vIn5qFmKUPKWJeZCid4UGoUsSi9AqqGXFLmKWqZ36Xv1CzIzIJ4qylDlX5yl7wpYsWgboeoHfFJ3pSxMFRdCqoHeFHeFBZtxCc96VR3hS94VBbe99UHF9VUd4Ud4UFt70g4rqqnvCjOUFocSuTXVb3hRnKCw79de9qtzlGcoLH3kJe/HNVmcozlBaHEHofojv+iq85RnKCzNZcGt5qB3hR3hQTu96lCg94UIOUIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQgEIQg/9k=",בעלי חיים,FALSE,FALSE,https://davidson.org.il/read-experience/askexpert/beetle-fires-from-behind/
9,מתכון – סלט בשלושה ימים (סלט נבטים),,https://i0.wp.com/adamtsair.co.il/wp-content/uploads/2024/01/%D7%A1%D7%9C%D7%98.jpg,בישול,TRUE,TRUE,https://adamtsair.co.il/%d7%9e%d7%aa%d7%9b%d7%95%d7%9f-%d7%a1%d7%9c%d7%98-%d7%91%d7%a9%d7%9c%d7%95%d7%a9%d7%94-%d7%99%d7%9e%d7%99%d7%9d-%d7%a1%d7%9c%d7%98-%d7%a0%d7%91%d7%98%d7%99%d7%9d/
10,צב רך חולץ בירדן וניצל,,https://www.kkl.org.il/education/files/articles/animals/nature-news/soft-turtle/soft-turtle-440-449.jpeg,בעלי חיים,TRUE,TRUE,https://www.kkl.org.il/education/features/animals/nature_news/soft_turtle/
